"Date","PM2.5 AQI Value","AQI Category","Site Name","Site ID","Source"
"01/01/2020","53","Moderate","Oakland","06-001-0009","AQS"
"01/02/2020","43","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"01/03/2020","74","Moderate","Berkeley Aquatic Park","06-001-0013","AQS"
"01/04/2020","45","Good","Livermore","06-001-0007","AQS"
"01/05/2020","33","Good","Livermore","06-001-0007","AQS"
"01/06/2020","35","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"01/07/2020","49","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"01/08/2020","30","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"01/09/2020","26","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"01/10/2020","38","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"01/11/2020","37","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"01/12/2020","33","Good","Laney College","06-001-0012","AQS"
"01/13/2020","26","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"01/14/2020","31","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"01/15/2020","36","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"01/16/2020","25","Good","Oakland","06-001-0009","AQS"
"01/17/2020","35","Good","Pleasanton - Owens Ct","06-001-0015","AQS"
"01/18/2020","42","Good","Pleasanton - Owens Ct","06-001-0015","AQS"
"01/19/2020","39","Good","Pleasanton - Owens Ct","06-001-0015","AQS"
"01/20/2020","60","Moderate","Berkeley Aquatic Park","06-001-0013","AQS"
"01/21/2020","25","Good","Pleasanton - Owens Ct","06-001-0015","AQS"
"01/22/2020","37","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"01/23/2020","47","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"01/24/2020","48","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"01/25/2020","40","Good","Oakland","06-001-0009","AQS"
"01/26/2020","30","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"01/27/2020","41","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"01/28/2020","40","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"01/29/2020","49","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"01/30/2020","40","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"01/31/2020","54","Moderate","Berkeley Aquatic Park","06-001-0013","AQS"
"02/01/2020","66","Moderate","Laney College","06-001-0012","AQS"
"02/02/2020","32","Good","Pleasanton - Owens Ct","06-001-0015","AQS"
"02/03/2020","13","Good","Oakland","06-001-0009","AQS"
"02/04/2020","26","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"02/05/2020","46","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"02/06/2020","53","Moderate","Berkeley Aquatic Park","06-001-0013","AQS"
"02/07/2020","56","Moderate","Oakland","06-001-0009","AQS"
"02/08/2020","48","Good","Pleasanton - Owens Ct","06-001-0015","AQS"
"02/09/2020","18","Good","Pleasanton - Owens Ct","06-001-0015","AQS"
"02/10/2020","28","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"02/11/2020","34","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"02/12/2020","53","Moderate","Berkeley Aquatic Park","06-001-0013","AQS"
"02/13/2020","39","Good","Pleasanton - Owens Ct","06-001-0015","AQS"
"02/14/2020","42","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"02/15/2020","54","Moderate","Berkeley Aquatic Park","06-001-0013","AQS"
"02/16/2020","34","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"02/17/2020","34","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"02/18/2020","48","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"02/19/2020","49","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"02/20/2020","55","Moderate","Berkeley Aquatic Park","06-001-0013","AQS"
"02/21/2020","56","Moderate","Laney College","06-001-0012","AQS"
"02/22/2020","55","Moderate","Berkeley Aquatic Park","06-001-0013","AQS"
"02/23/2020","35","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"02/24/2020","36","Good","Berkeley Aquatic Park","06-001-0013","AQS"
"02/25/2020","54","Moderate","Berkeley Aquatic Park","06-001-0013","AQS"
"02/26/2020","54","Moderate","Berkeley Aquatic Park","06-001-0013","AQS"
"02/27/2020","56","Moderate","Laney College","06-001-0012","AQS"
"02/28/2020","55","Moderate","Berkeley Aquatic Park","06-001-0013","AQS"
"02/29/2020","38","Good","Berkeley Aquatic Park","06-001-0013","AQS"
