"Date","PM2.5 AQI Value","AQI Category","Site Name","Site ID","Source"
"01/01/2020","38","Good","Santa Cruz","06-087-0007","AQS"
"01/02/2020","25","Good","Santa Cruz","06-087-0007","AQS"
"01/03/2020","54","Moderate","San Lorenzo Valley Middle School","06-087-1005","AQS"
"01/04/2020","35","Good","San Lorenzo Valley Middle School","06-087-1005","AQS"
"01/05/2020","22","Good","Santa Cruz","06-087-0007","AQS"
"01/06/2020","25","Good","San Lorenzo Valley Middle School","06-087-1005","AQS"
"01/07/2020","30","Good","Santa Cruz","06-087-0007","AQS"
"01/08/2020","18","Good","San Lorenzo Valley Middle School","06-087-1005","AQS"
"01/09/2020","19","Good","Santa Cruz","06-087-0007","AQS"
"01/10/2020","25","Good","Santa Cruz","06-087-0007","AQS"
"01/11/2020","25","Good","Santa Cruz","06-087-0007","AQS"
"01/12/2020","35","Good","San Lorenzo Valley Middle School","06-087-1005","AQS"
"01/13/2020","26","Good","San Lorenzo Valley Middle School","06-087-1005","AQS"
"01/14/2020","23","Good","Santa Cruz","06-087-0007","AQS"
"01/15/2020","26","Good","Santa Cruz","06-087-0007","AQS"
"01/16/2020","22","Good","Santa Cruz","06-087-0007","AQS"
"01/17/2020","20","Good","Santa Cruz","06-087-0007","AQS"
"01/18/2020","30","Good","Santa Cruz","06-087-0007","AQS"
"01/19/2020","41","Good","Santa Cruz","06-087-0007","AQS"
"01/20/2020","29","Good","San Lorenzo Valley Middle School","06-087-1005","AQS"
"01/21/2020","28","Good","Santa Cruz","06-087-0007","AQS"
"01/22/2020","15","Good","Santa Cruz","06-087-0007","AQS"
"01/23/2020","28","Good","Santa Cruz","06-087-0007","AQS"
"01/24/2020","32","Good","Santa Cruz","06-087-0007","AQS"
"01/25/2020","28","Good","Santa Cruz","06-087-0007","AQS"
"01/26/2020","18","Good","Santa Cruz","06-087-0007","AQS"
"01/27/2020","22","Good","Santa Cruz","06-087-0007","AQS"
"01/28/2020","24","Good","Santa Cruz","06-087-0007","AQS"
"01/29/2020","35","Good","Santa Cruz","06-087-0007","AQS"
"01/30/2020","28","Good","San Lorenzo Valley Middle School","06-087-1005","AQS"
"01/31/2020","30","Good","Santa Cruz","06-087-0007","AQS"
"02/01/2020","42","Good","Santa Cruz","06-087-0007","AQS"
"02/02/2020","28","Good","Santa Cruz","06-087-0007","AQS"
"02/03/2020","9","Good","Santa Cruz","06-087-0007","AQS"
"02/04/2020","18","Good","San Lorenzo Valley Middle School","06-087-1005","AQS"
"02/05/2020","35","Good","San Lorenzo Valley Middle School","06-087-1005","AQS"
"02/06/2020","50","Good","San Lorenzo Valley Middle School","06-087-1005","AQS"
"02/07/2020","36","Good","Santa Cruz","06-087-0007","AQS"
"02/08/2020","40","Good","Santa Cruz","06-087-0007","AQS"
"02/09/2020","14","Good","San Lorenzo Valley Middle School","06-087-1005","AQS"
"02/10/2020","15","Good","Santa Cruz","06-087-0007","AQS"
"02/11/2020","33","Good","San Lorenzo Valley Middle School","06-087-1005","AQS"
